掲載日,書名,著者名,価格,当月合計冊数,出版社名
2020/04/10,【タテコミ】その魔女を放せ（36）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/04/10,【タテコミ】その魔女を放せ（36）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/04/10,【タテコミ】その魔女を放せ（37）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/10,【タテコミ】その魔女を放せ（37）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/04/10,【タテコミ】その魔女を放せ（37）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/04/17,【タテコミ】その魔女を放せ（38）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/17,【タテコミ】その魔女を放せ（38）【フルカラー】,[著]二目,30,9,[発行]閲文漫画
2020/04/17,【タテコミ】その魔女を放せ（38）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/04/17,【タテコミ】その魔女を放せ（39）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/17,【タテコミ】その魔女を放せ（39）【フルカラー】,[著]二目,30,7,[発行]閲文漫画
2020/04/17,【タテコミ】その魔女を放せ（39）【フルカラー】,[著]二目,60,6,[発行]閲文漫画
2020/04/24,【タテコミ】その魔女を放せ（40）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/24,【タテコミ】その魔女を放せ（40）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/04/24,【タテコミ】その魔女を放せ（40）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/04/24,【タテコミ】その魔女を放せ（41）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/24,【タテコミ】その魔女を放せ（41）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/04/24,【タテコミ】その魔女を放せ（41）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/05/01,【タテコミ】その魔女を放せ（42）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/05/01,【タテコミ】その魔女を放せ（42）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/05/01,【タテコミ】その魔女を放せ（42）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/02/21,【タテコミ】赤い実の花は白（1）【フルカラー】,[著]IIE STAR,50,0,[発行]IIE STAR
