Release date,Title,Author,Price,Total sales (current month),Publisher
2022/06/01,Dawn the Teen Witch [VertiComix](59),[author]JiaoXiangTing : TangTang,0.3,1,[publisher]KUAIKAN
2022/06/01,Dawn the Teen Witch [VertiComix](60),[author]JiaoXiangTing : TangTang,0.3,1,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](66),[author]Toumanwenhua,0.3,1,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](66),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](67),[author]Toumanwenhua,0.3,1,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](67),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](68),[author]Toumanwenhua,0.3,1,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](68),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](69),[author]Toumanwenhua,0.3,1,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](69),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/06,Bring A Wolf Home [VertiComix](70),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/13,Bring A Wolf Home [VertiComix](71),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/13,Bring A Wolf Home [VertiComix](72),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/13,Bring A Wolf Home [VertiComix](73),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/13,Bring A Wolf Home [VertiComix](74),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/13,Bring A Wolf Home [VertiComix](75),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/20,Bring A Wolf Home [VertiComix](76),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/20,Bring A Wolf Home [VertiComix](77),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/20,Bring A Wolf Home [VertiComix](78),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
